5,1,1.5.1,True,6/30/2021,1/19/2021,10,10,2.5,6,140625,140625,2741586.433062703,1
6,1,1.6.1,True,6/30/2021,1/19/2021,1,1,2.5,6,140625,140625,2741586.433062703,1
7,1,1.7.1,True,5/4/2021,1/19/2021,5,4,2.26,6,84899.41306214397,84899.41306214397,1655175.6730749179,1
8,1,1.7.2,True,6/30/2021,1/19/2021,20,20,2.5,6,140625,140625,2741586.433062703,1
9,1,1.8.1,True,4/30/2021,1/19/2021,1,0,1.3,13,33549.24257637266,33549.24257637266,654066.8322624916,1
10,1,1.9.1,True,6/30/2021,1/19/2021,1,1,2.5,6,140625,140625,2741586.433062703,1
11,1,1.10.1,True,5/31/2021,1/19/2021,10,9,2.38,6,109963.17664819198,109963.17664819198,2143811.934116697,1
12,1,1.12.1,True,4/20/2021,1/19/2021,20,4,1.54,9,45554.18265161371,45554.18265161371,888111.8515692408,1
13,1,1.14.1,True,6/30/2021,1/19/2021,26,26,2.5,6,140625,140625,2741586.433062703,1
14,1,1.14.2,True,6/30/2021,1/19/2021,10,10,2.5,6,140625,140625,2741586.433062703,1
15,1,1.15.1,True,7/1/2021,1/20/2021,10,10,2.5,6,140625,140625,2741586.433062703,1
16,1,1.16.1,True,7/27/2021,1/20/2021,7,5,2.1571428571428575,7,145089.48386554458,145089.48386554458,2828624.7861038004,1
18,1,1.18.1,True,7/1/2021,1/20/2021,10,10,2.5,6,140625,140625,2741586.433062703,1
21,1,1.23.1,True,5/8/2021,1/20/2021,30,24,2.26,6,84899.41306214397,84899.41306214397,1655175.6730749179,1
22,1,1.23.2,True,7/1/2021,1/20/2021,10,10,2.5,6,140625,140625,2741586.433062703,1
23,1,1.25.1,True,5/4/2021,1/21/2021,1,0,1.3,13,33549.24257637266,33549.24257637266,654066.8322624916,1
24,1,1.26.1,True,5/4/2021,1/21/2021,1,0,1.3,13,33549.24257637266,33549.24257637266,654066.8322624916,1
25,1,1.27.1,True,5/1/2021,1/21/2021,4,2,1.9,7,67746.06863999998,67746.06863999998,1320758.7745902832,1
26,1,1.31.1,True,6/8/2021,1/21/2021,20,12,2.02,7,97829.69707938818,97829.69707938818,1907260.94409589,1
27,1,1.31.2,True,7/3/2021,1/21/2021,10,10,2.5,6,140625,140625,2741586.433062703,1
28,1,1.32.1,True,6/3/2021,1/22/2021,10,4,1.78,8,81527.19647943907,81527.19647943907,1589431.8634216355,1
29,1,1.33.1,True,6/19/2021,1/22/2021,20,19,2.44,6,124540.79216025598,124540.79216025598,2428013.1281737927,1
30,1,1.33.2,True,6/19/2021,1/22/2021,20,19,2.44,6,124540.79216025598,124540.79216025598,2428013.1281737927,1
31,1,1.33.3,True,5/10/2021,1/23/2021,20,16,2.26,6,84899.41306214397,84899.41306214397,1655175.6730749179,1
32,1,1.33.4,True,6/3/2021,1/23/2021,20,18,2.38,6,109963.17664819198,109963.17664819198,2143811.934116697,1
33,1,1.34.1,True,7/8/2021,1/25/2021,4,4,2.5,6,140625,140625,2741586.433062703,1
34,1,1.34.2,True,7/8/2021,1/25/2021,12,12,2.5,6,140625,140625,2741586.433062703,1
35,1,1.34.3,True,7/8/2021,1/25/2021,10,10,2.5,6,140625,140625,2741586.433062703,1
36,1,1.34.4,True,6/18/2021,1/25/2021,52,49,2.430769230769231,6,122202.79627435589,122202.79627435589,2382432.2015864854,1
37,1,1.36.1,True,7/8/2021,1/25/2021,15,15,2.5,6,140625,140625,2741586.433062703,1
38,1,1.37.1,True,7/8/2021,1/25/2021,5,5,2.5,6,140625,140625,2741586.433062703,1
39,1,1.37.2,True,6/29/2021,1/25/2021,100,97,2.464,6,130787.43110601668,130787.43110601668,2549795.887896023,1
40,1,1.41.1,True,6/10/2021,1/25/2021,50,45,2.38,6,109963.17664819198,109963.17664819198,2143811.934116697,1
41,1,1.42.1,True,5/30/2021,1/25/2021,15,4,1.62,9,68309.7362418343,68309.7362418343,1331747.8835676766,1
42,1,1.43.1,True,6/21/2021,1/26/2021,40,38,2.44,6,124540.79216025598,124540.79216025598,2428013.1281737927,1
43,1,1.45.1,True,5/1/2021,1/26/2021,80,60,2.2,6,74212.30080000004,74212.30080000004,1446822.6633930558,1
44,1,1.46.1,True,6/23/2021,1/27/2021,104,98,2.430769230769231,6,122202.79627435589,122202.79627435589,2382432.2015864854,1
45,1,1.47.1,True,6/10/2021,1/27/2021,20,18,2.38,6,109963.17664819198,109963.17664819198,2143811.934116697,1
46,1,1.49.1,True,7/14/2021,1/27/2021,7,7,2.5,6,140625,140625,2741586.433062703,1
